Date,Open,High,Low,Close
12/27/2024,"8,136.99","8,151.28","8,112.29","8,149.78"
12/24/2024,"8,102.72","8,152.01","8,102.72","8,136.99"
12/23/2024,"8,084.61","8,111.41","8,051.92","8,102.72"
12/20/2024,"8,105.32","8,105.83","8,002.34","8,084.61"
12/19/2024,"8,199.11","8,199.11","8,078.98","8,105.32"
12/18/2024,"8,195.20","8,231.84","8,191.61","8,199.11"
12/17/2024,"8,262.05","8,262.05","8,190.17","8,195.20"
12/16/2024,"8,300.33","8,305.21","8,254.06","8,262.05"
12/13/2024,"8,311.76","8,331.85","8,282.40","8,300.33"
12/12/2024,"8,301.62","8,331.05","8,300.18","8,311.76"
12/11/2024,"8,280.36","8,318.88","8,248.42","8,301.62"
12/10/2024,"8,352.08","8,352.13","8,274.50","8,280.36"
12/09/2024,"8,308.61","8,372.05","8,308.61","8,352.08"
12/06/2024,"8,349.38","8,357.58","8,303.48","8,308.61"
12/05/2024,"8,335.81","8,350.67","8,321.64","8,349.38"
12/04/2024,"8,359.41","8,362.75","8,322.84","8,335.81"
12/03/2024,"8,312.89","8,388.37","8,311.85","8,359.41"
12/02/2024,"8,287.30","8,332.00","8,274.66","8,312.89"
11/29/2024,"8,281.22","8,292.45","8,252.89","8,287.30"
11/28/2024,"8,274.75","8,303.77","8,271.85","8,281.22"
11/27/2024,"8,258.61","8,280.02","8,237.70","8,274.75"
11/26/2024,"8,291.68","8,291.68","8,245.76","8,258.61"
11/25/2024,"8,262.08","8,307.27","8,261.78","8,291.68"
11/22/2024,"8,149.27","8,274.84","8,149.27","8,262.08"
11/21/2024,"8,085.07","8,152.86","8,065.22","8,149.27"
11/20/2024,"8,099.02","8,128.44","8,074.22","8,085.07"
11/19/2024,"8,109.32","8,145.86","8,052.02","8,099.02"
11/18/2024,"8,063.61","8,109.32","8,054.07","8,109.32"
11/15/2024,"8,071.19","8,091.89","8,030.01","8,063.61"
11/14/2024,"8,030.33","8,083.12","8,012.83","8,071.19"
11/13/2024,"8,025.77","8,062.73","7,995.87","8,030.33"
11/12/2024,"8,125.19","8,125.19","8,018.55","8,025.77"
11/11/2024,"8,072.39","8,148.18","8,072.39","8,125.19"
11/08/2024,"8,140.74","8,156.45","8,060.94","8,072.39"
11/07/2024,"8,166.68","8,195.30","8,140.74","8,140.74"
11/06/2024,"8,172.39","8,301.78","8,144.25","8,166.68"
11/05/2024,"8,184.24","8,215.84","8,148.34","8,172.39"
11/04/2024,"8,177.15","8,239.88","8,175.76","8,184.24"
11/01/2024,"8,110.10","8,202.55","8,105.30","8,177.15"
10/31/2024,"8,159.63","8,159.63","8,071.72","8,110.10"
10/30/2024,"8,219.61","8,219.61","8,153.75","8,159.63"
10/29/2024,"8,285.62","8,325.54","8,215.30","8,219.61"
10/28/2024,"8,248.84","8,293.62","8,208.91","8,285.62"
10/25/2024,"8,269.38","8,278.11","8,246.23","8,248.84"
10/24/2024,"8,258.64","8,337.68","8,256.77","8,269.38"
10/23/2024,"8,306.54","8,323.24","8,252.38","8,258.64"
10/22/2024,"8,318.24","8,318.24","8,252.40","8,306.54"
10/21/2024,"8,358.25","8,391.81","8,318.24","8,318.24"
10/18/2024,"8,385.13","8,385.13","8,315.85","8,358.25"
10/17/2024,"8,329.07","8,395.58","8,322.12","8,385.13"
10/16/2024,"8,249.28","8,346.55","8,249.28","8,329.07"
10/15/2024,"8,292.66","8,306.15","8,241.96","8,249.28"
10/14/2024,"8,253.65","8,292.66","8,237.70","8,292.66"
10/11/2024,"8,237.73","8,265.71","8,211.92","8,253.65"
10/10/2024,"8,243.74","8,272.46","8,218.36","8,237.73"
10/09/2024,"8,190.61","8,244.36","8,188.71","8,243.74"
10/08/2024,"8,303.62","8,303.62","8,184.03","8,190.61"
10/07/2024,"8,280.63","8,323.41","8,260.11","8,303.62"
